year,result_code,electoral_district_name,polling_division_name,party,candidate,votes,percentage,affiliation
2010,04P,Kandy,Postal Votes,Ind 5,M. K. Shivajilingam,4,0.01,
2010,04P,Kandy,Postal Votes,SEP,Wije Dias,6,0.02,
2010,04P,Kandy,Postal Votes,NA,Sanath Pinnaduwa,1,0.0,
2010,04P,Kandy,Postal Votes,Ind 4,M. Mohamed Musthaffa,1,0.0,
2010,04P,Kandy,Postal Votes,JP,Baththaramulle Seelarathana Thero,5,0.02,
2010,04P,Kandy,Postal Votes,RPP,Aruna de Soyza,1,0.0,
2010,04P,Kandy,Postal Votes,PNF,Senaratna de Silva,0,0.0,
2010,04P,Kandy,Postal Votes,ACAKO,M. B. Theminimulla,2,0.01,
2010,04P,Kandy,Postal Votes,UNAF,Sarath Kongahage,2,0.01,
2015,04P,Kandy,Postal Votes,I-AMI,Aithurus Mohamed Illias,10,0.03,
2015,04P,Kandy,Postal Votes,UPF,Maulawi Ibrahim Mohanmed Mishlar,4,0.01,
2015,04P,Kandy,Postal Votes,DNM,Prasanna Priyankara,2,0.01,
2015,04P,Kandy,Postal Votes,SLNF,Wimal Geeganage,3,0.01,
2015,04P,Kandy,Postal Votes,USP,Siritunga Jayasuriya,9,0.02,
2015,04P,Kandy,Postal Votes,AACAAKO,M. B. Theminimulla,4,0.01,
2015,04P,Kandy,Postal Votes,SEP,Pani Wijesiriwardane,5,0.01,
2015,04P,Kandy,Postal Votes,FSP,Duminda Nagamuwa,32,0.09,
2015,04P,Kandy,Postal Votes,SLLP,A. S. P. Liyanage,7,0.02,
2015,04P,Kandy,Postal Votes,NDF,Maithripala Sirisena,19100,51.47,green
2015,04P,Kandy,Postal Votes,ULPP,Ruwanthilaka Peduru Arachchi,3,0.01,
2015,04P,Kandy,Postal Votes,I-AP,Anuruddha Polgampala,3,0.01,
2015,04P,Kandy,Postal Votes,JSP,Baththaramulle Seelarathana Thero,15,0.04,
2015,04P,Kandy,Postal Votes,NSH,Sarath Manamendra,5,0.01,
2015,04P,Kandy,Postal Votes,PNF,Arachchige Rathnayaka Sirisena,11,0.03,
2015,04P,Kandy,Postal Votes,UPFA,Mahinda Rajapaksa,17880,48.18,blue
2015,04P,Kandy,Postal Votes,ONF,Namal Ajith Rajapaksa,13,0.04,
2015,04P,Kandy,Postal Votes,NSSP,Sundaram Mahendran,2,0.01,red
2015,04P,Kandy,Postal Votes,ULGC,Jayantha Kulathunga,4,0.01,
1982,05A,Matale,Dambulla,UNP,Junius Richard Jayewardene,27368,52.62,green
1982,05A,Matale,Dambulla,SLFP,Hector Kobbekaduwa,21748,41.81,blue
1982,05A,Matale,Dambulla,JVP,Rohana Wijeweera,2501,4.81,red
1982,05A,Matale,Dambulla,LSSP,Colvin Reginald de Silva,309,0.59,red
1982,05A,Matale,Dambulla,ACTC,Kumar Ponnambalam,46,0.09,yellow
1982,05A,Matale,Dambulla,NSSP,Vasudeva Nanayakkara,40,0.08,red
1988,05A,Matale,Dambulla,UNP,Ranasinghe Premadasa,4276,56.2,green
1988,05A,Matale,Dambulla,SLFP,Sirimavo Bandaranaike,3195,42.0,blue
1988,05A,Matale,Dambulla,SLMP,Oswin Abeygunasekara,137,1.8,purple
1994,05A,Matale,Dambulla,PA,Chandrika Kumaratunga,37869,60.2,blue
1994,05A,Matale,Dambulla,UNP,Srimathi Dissanayake,23746,37.75,green
1994,05A,Matale,Dambulla,Ind 2,Hudson Samarasinghe,602,0.96,
1994,05A,Matale,Dambulla,SMBP,Harischandra Wijayatunga,273,0.43,
1994,05A,Matale,Dambulla,SLPF,G. A. Nihal,229,0.36,
1994,05A,Matale,Dambulla,Ind 1,Arthur Jayasena Ranasinghe,187,0.3,
1999,05A,Matale,Dambulla,PA,Chandrika Kumaratunga,35811,49.9,blue
1999,05A,Matale,Dambulla,UNP,Ranil Wickremesinghe,30850,42.99,green
1999,05A,Matale,Dambulla,JVP,M. D. Nandana Gunathilake,3496,4.87,red
1999,05A,Matale,Dambulla,Ind 2,W. V. M. Ranjith,323,0.45,
1999,05A,Matale,Dambulla,SMBP,Harischandra Wijayatunga,233,0.32,
1999,05A,Matale,Dambulla,Liberal,Rajiva Wijesinha,270,0.38,
1999,05A,Matale,Dambulla,Ind 1,T. Edirisuriya,214,0.3,
1999,05A,Matale,Dambulla,SLMP,Abdul Rasool,169,0.24,purple
1999,05A,Matale,Dambulla,PLSF,Kamal Karunadasa,132,0.18,
1999,05A,Matale,Dambulla,LDA,Vasudeva Nanayakkara,91,0.13,
1999,05A,Matale,Dambulla,Ind 3,Hudson Samarasinghe,76,0.11,
1999,05A,Matale,Dambulla,PFF,A. W. Premawardhana,57,0.08,
1999,05A,Matale,Dambulla,DUNF,A. Dissanayaka,46,0.06,
2005,05A,Matale,Dambulla,UNP,Ranil Wickremesinghe,38692,46.18,green
2005,05A,Matale,Dambulla,UPFA,Mahinda Rajapaksa,43853,52.34,blue
2005,05A,Matale,Dambulla,JSP,A. A. Suraweera,361,0.43,
2005,05A,Matale,Dambulla,USP,Siritunga Jayasuriya,325,0.39,
2005,05A,Matale,Dambulla,NLF,Chamil Jayaneththi,117,0.14,
2005,05A,Matale,Dambulla,ULPP,Victor Hettigoda,102,0.12,
2005,05A,Matale,Dambulla,SLNF,Wimal Geeganage,71,0.08,
2005,05A,Matale,Dambulla,RPP,Aruna de Soyza,84,0.1,
2005,05A,Matale,Dambulla,ULF,Anura De Silva,61,0.07,
2005,05A,Matale,Dambulla,DUA,A. K. J. Arachchige,41,0.05,
2005,05A,Matale,Dambulla,SEP,Wije Dias,31,0.04,
2005,05A,Matale,Dambulla,SLPF,P. Nelson Perera,23,0.03,
2005,05A,Matale,Dambulla,UNAF,H. S. Dharmadwaja,17,0.02,
2010,05A,Matale,Dambulla,UPFA,Mahinda Rajapaksa,58016,65.97,blue
2010,05A,Matale,Dambulla,NDF,Sarath Fonseka,28171,32.03,green
2010,05A,Matale,Dambulla,DUNF,M. C. M. Ismail,360,0.41,
2010,05A,Matale,Dambulla,JSP,A. A. Suraweera,267,0.3,
2010,05A,Matale,Dambulla,Ind 1,W. V. M. Ranjith,250,0.28,
2010,05A,Matale,Dambulla,UDF,C. J. Sugathsiri Gamage,158,0.18,
2010,05A,Matale,Dambulla,SLLP,A. S. P. Liyanage,96,0.11,
2010,05A,Matale,Dambulla,Ind 3,Ukkubanda Wijekoon,107,0.12,
2010,05A,Matale,Dambulla,USP,Siritunga Jayasuriya,85,0.1,
2010,05A,Matale,Dambulla,NSH,Sarath Manamendra,75,0.09,
2010,05A,Matale,Dambulla,ONF,Lal Perera,51,0.06,
2010,05A,Matale,Dambulla,Ind 5,M. K. Shivajilingam,41,0.05,
2010,05A,Matale,Dambulla,Ind 2,Aithurus Mohamed Illias,62,0.07,
2010,05A,Matale,Dambulla,LF,Vikramabahu Karunaratne,43,0.05,
2010,05A,Matale,Dambulla,NA,Sanath Pinnaduwa,27,0.03,
2010,05A,Matale,Dambulla,SEP,Wije Dias,29,0.03,
2010,05A,Matale,Dambulla,Ind 4,M. Mohamed Musthaffa,23,0.03,
2010,05A,Matale,Dambulla,JP,Baththaramulle Seelarathana Thero,27,0.03,
2010,05A,Matale,Dambulla,RPP,Aruna de Soyza,20,0.02,
2010,05A,Matale,Dambulla,PNF,Senaratna de Silva,20,0.02,
2010,05A,Matale,Dambulla,ACAKO,M. B. Theminimulla,10,0.01,
2010,05A,Matale,Dambulla,UNAF,Sarath Kongahage,11,0.01,
2015,05A,Matale,Dambulla,I-AMI,Aithurus Mohamed Illias,90,0.09,
2015,05A,Matale,Dambulla,UPF,Maulawi Ibrahim Mohanmed Mishlar,104,0.1,
2015,05A,Matale,Dambulla,DNM,Prasanna Priyankara,25,0.02,
2015,05A,Matale,Dambulla,SLNF,Wimal Geeganage,15,0.01,
2015,05A,Matale,Dambulla,USP,Siritunga Jayasuriya,66,0.07,
2015,05A,Matale,Dambulla,AACAAKO,M. B. Theminimulla,36,0.04,
2015,05A,Matale,Dambulla,SEP,Pani Wijesiriwardane,27,0.03,
2015,05A,Matale,Dambulla,FSP,Duminda Nagamuwa,79,0.08,
2015,05A,Matale,Dambulla,SLLP,A. S. P. Liyanage,92,0.09,
2015,05A,Matale,Dambulla,NDF,Maithripala Sirisena,42652,42.03,green
2015,05A,Matale,Dambulla,ULPP,Ruwanthilaka Peduru Arachchi,74,0.07,
2015,05A,Matale,Dambulla,I-AP,Anuruddha Polgampala,36,0.04,
2015,05A,Matale,Dambulla,JSP,Baththaramulle Seelarathana Thero,30,0.03,
2015,05A,Matale,Dambulla,NSH,Sarath Manamendra,75,0.07,
2015,05A,Matale,Dambulla,PNF,Arachchige Rathnayaka Sirisena,205,0.2,
2015,05A,Matale,Dambulla,UPFA,Mahinda Rajapaksa,57657,56.82,blue
2015,05A,Matale,Dambulla,ONF,Namal Ajith Rajapaksa,158,0.16,
2015,05A,Matale,Dambulla,NSSP,Sundaram Mahendran,24,0.02,red
2015,05A,Matale,Dambulla,ULGC,Jayantha Kulathunga,27,0.03,
1982,05B,Matale,Laggala,UNP,Junius Richard Jayewardene,17354,56.18,green
1982,05B,Matale,Laggala,SLFP,Hector Kobbekaduwa,12149,39.33,blue
1982,05B,Matale,Laggala,JVP,Rohana Wijeweera,1158,3.75,red
1982,05B,Matale,Laggala,LSSP,Colvin Reginald de Silva,155,0.5,red
1982,05B,Matale,Laggala,ACTC,Kumar Ponnambalam,39,0.13,yellow
1982,05B,Matale,Laggala,NSSP,Vasudeva Nanayakkara,34,0.11,red
1988,05B,Matale,Laggala,UNP,Ranasinghe Premadasa,9055,49.81,green
1988,05B,Matale,Laggala,SLFP,Sirimavo Bandaranaike,8908,49.0,blue
1988,05B,Matale,Laggala,SLMP,Oswin Abeygunasekara,216,1.19,purple
1994,05B,Matale,Laggala,PA,Chandrika Kumaratunga,26092,65.21,blue
1994,05B,Matale,Laggala,UNP,Srimathi Dissanayake,13013,32.52,green
1994,05B,Matale,Laggala,Ind 2,Hudson Samarasinghe,507,1.27,
1994,05B,Matale,Laggala,SMBP,Harischandra Wijayatunga,137,0.34,
1994,05B,Matale,Laggala,SLPF,G. A. Nihal,143,0.36,
1994,05B,Matale,Laggala,Ind 1,Arthur Jayasena Ranasinghe,119,0.3,
1999,05B,Matale,Laggala,PA,Chandrika Kumaratunga,24073,57.07,blue
1999,05B,Matale,Laggala,UNP,Ranil Wickremesinghe,16091,38.15,green
1999,05B,Matale,Laggala,JVP,M. D. Nandana Gunathilake,1069,2.53,red
1999,05B,Matale,Laggala,Ind 2,W. V. M. Ranjith,200,0.47,
1999,05B,Matale,Laggala,SMBP,Harischandra Wijayatunga,112,0.27,
1999,05B,Matale,Laggala,Liberal,Rajiva Wijesinha,181,0.43,
1999,05B,Matale,Laggala,Ind 1,T. Edirisuriya,171,0.41,
1999,05B,Matale,Laggala,SLMP,Abdul Rasool,64,0.15,purple
1999,05B,Matale,Laggala,PLSF,Kamal Karunadasa,74,0.18,
1999,05B,Matale,Laggala,LDA,Vasudeva Nanayakkara,35,0.08,
1999,05B,Matale,Laggala,Ind 3,Hudson Samarasinghe,48,0.11,
1999,05B,Matale,Laggala,PFF,A. W. Premawardhana,30,0.07,
1999,05B,Matale,Laggala,DUNF,A. Dissanayaka,31,0.07,
2005,05B,Matale,Laggala,UNP,Ranil Wickremesinghe,22249,47.56,green
2005,05B,Matale,Laggala,UPFA,Mahinda Rajapaksa,23637,50.53,blue
2005,05B,Matale,Laggala,JSP,A. A. Suraweera,279,0.6,
2005,05B,Matale,Laggala,USP,Siritunga Jayasuriya,243,0.52,
2005,05B,Matale,Laggala,NLF,Chamil Jayaneththi,86,0.18,
2005,05B,Matale,Laggala,ULPP,Victor Hettigoda,37,0.08,
2005,05B,Matale,Laggala,SLNF,Wimal Geeganage,65,0.14,
2005,05B,Matale,Laggala,RPP,Aruna de Soyza,51,0.11,
2005,05B,Matale,Laggala,ULF,Anura De Silva,45,0.1,
2005,05B,Matale,Laggala,DUA,A. K. J. Arachchige,35,0.07,
2005,05B,Matale,Laggala,SEP,Wije Dias,28,0.06,
2005,05B,Matale,Laggala,SLPF,P. Nelson Perera,14,0.03,
2005,05B,Matale,Laggala,UNAF,H. S. Dharmadwaja,12,0.03,
2010,05B,Matale,Laggala,UPFA,Mahinda Rajapaksa,31277,64.09,blue
2010,05B,Matale,Laggala,NDF,Sarath Fonseka,16300,33.4,green
2010,05B,Matale,Laggala,DUNF,M. C. M. Ismail,213,0.44,
2010,05B,Matale,Laggala,JSP,A. A. Suraweera,188,0.39,
2010,05B,Matale,Laggala,Ind 1,W. V. M. Ranjith,136,0.28,
2010,05B,Matale,Laggala,UDF,C. J. Sugathsiri Gamage,100,0.2,
2010,05B,Matale,Laggala,SLLP,A. S. P. Liyanage,90,0.18,
2010,05B,Matale,Laggala,Ind 3,Ukkubanda Wijekoon,70,0.14,
2010,05B,Matale,Laggala,USP,Siritunga Jayasuriya,59,0.12,
2010,05B,Matale,Laggala,NSH,Sarath Manamendra,72,0.15,
2010,05B,Matale,Laggala,ONF,Lal Perera,46,0.09,
2010,05B,Matale,Laggala,Ind 5,M. K. Shivajilingam,44,0.09,
2010,05B,Matale,Laggala,Ind 2,Aithurus Mohamed Illias,32,0.07,
2010,05B,Matale,Laggala,LF,Vikramabahu Karunaratne,31,0.06,
2010,05B,Matale,Laggala,NA,Sanath Pinnaduwa,28,0.06,
2010,05B,Matale,Laggala,SEP,Wije Dias,21,0.04,
2010,05B,Matale,Laggala,Ind 4,M. Mohamed Musthaffa,20,0.04,
2010,05B,Matale,Laggala,JP,Baththaramulle Seelarathana Thero,20,0.04,
2010,05B,Matale,Laggala,RPP,Aruna de Soyza,15,0.03,
2010,05B,Matale,Laggala,PNF,Senaratna de Silva,15,0.03,
2010,05B,Matale,Laggala,ACAKO,M. B. Theminimulla,15,0.03,
2010,05B,Matale,Laggala,UNAF,Sarath Kongahage,6,0.01,
2015,05B,Matale,Laggala,I-AMI,Aithurus Mohamed Illias,52,0.09,
2015,05B,Matale,Laggala,UPF,Maulawi Ibrahim Mohanmed Mishlar,59,0.11,
2015,05B,Matale,Laggala,DNM,Prasanna Priyankara,13,0.02,
2015,05B,Matale,Laggala,SLNF,Wimal Geeganage,10,0.02,
2015,05B,Matale,Laggala,USP,Siritunga Jayasuriya,42,0.07,
2015,05B,Matale,Laggala,AACAAKO,M. B. Theminimulla,22,0.04,
2015,05B,Matale,Laggala,SEP,Pani Wijesiriwardane,11,0.02,
2015,05B,Matale,Laggala,FSP,Duminda Nagamuwa,39,0.07,
2015,05B,Matale,Laggala,SLLP,A. S. P. Liyanage,73,0.13,
2015,05B,Matale,Laggala,NDF,Maithripala Sirisena,21511,38.29,green
2015,05B,Matale,Laggala,ULPP,Ruwanthilaka Peduru Arachchi,72,0.13,
2015,05B,Matale,Laggala,I-AP,Anuruddha Polgampala,30,0.05,
2015,05B,Matale,Laggala,JSP,Baththaramulle Seelarathana Thero,12,0.02,
2015,05B,Matale,Laggala,NSH,Sarath Manamendra,50,0.09,
2015,05B,Matale,Laggala,PNF,Arachchige Rathnayaka Sirisena,175,0.31,
2015,05B,Matale,Laggala,UPFA,Mahinda Rajapaksa,33821,60.2,blue
2015,05B,Matale,Laggala,ONF,Namal Ajith Rajapaksa,136,0.24,
2015,05B,Matale,Laggala,NSSP,Sundaram Mahendran,33,0.06,red
2015,05B,Matale,Laggala,ULGC,Jayantha Kulathunga,17,0.03,
1982,05C,Matale,Matale,UNP,Junius Richard Jayewardene,22452,62.77,green
1982,05C,Matale,Matale,SLFP,Hector Kobbekaduwa,11632,32.52,blue
1982,05C,Matale,Matale,JVP,Rohana Wijeweera,1400,3.91,red
1982,05C,Matale,Matale,LSSP,Colvin Reginald de Silva,153,0.43,red
1982,05C,Matale,Matale,ACTC,Kumar Ponnambalam,85,0.24,yellow
1982,05C,Matale,Matale,NSSP,Vasudeva Nanayakkara,49,0.14,red
1988,05C,Matale,Matale,UNP,Ranasinghe Premadasa,12544,63.13,green
1988,05C,Matale,Matale,SLFP,Sirimavo Bandaranaike,6889,34.67,blue
1988,05C,Matale,Matale,SLMP,Oswin Abeygunasekara,437,2.2,purple
1994,05C,Matale,Matale,PA,Chandrika Kumaratunga,25234,59.84,blue
1994,05C,Matale,Matale,UNP,Srimathi Dissanayake,16006,37.96,green
1994,05C,Matale,Matale,Ind 2,Hudson Samarasinghe,379,0.9,
1994,05C,Matale,Matale,SMBP,Harischandra Wijayatunga,288,0.68,
1994,05C,Matale,Matale,SLPF,G. A. Nihal,137,0.32,
1994,05C,Matale,Matale,Ind 1,Arthur Jayasena Ranasinghe,126,0.3,
1999,05C,Matale,Matale,PA,Chandrika Kumaratunga,21709,48.86,blue
1999,05C,Matale,Matale,UNP,Ranil Wickremesinghe,20185,45.43,green
1999,05C,Matale,Matale,JVP,M. D. Nandana Gunathilake,1392,3.13,red
1999,05C,Matale,Matale,Ind 2,W. V. M. Ranjith,168,0.38,
1999,05C,Matale,Matale,SMBP,Harischandra Wijayatunga,239,0.54,
1999,05C,Matale,Matale,Liberal,Rajiva Wijesinha,172,0.39,
1999,05C,Matale,Matale,Ind 1,T. Edirisuriya,122,0.27,
1999,05C,Matale,Matale,SLMP,Abdul Rasool,170,0.38,purple
1999,05C,Matale,Matale,PLSF,Kamal Karunadasa,56,0.13,
1999,05C,Matale,Matale,LDA,Vasudeva Nanayakkara,94,0.21,
1999,05C,Matale,Matale,Ind 3,Hudson Samarasinghe,59,0.13,
1999,05C,Matale,Matale,PFF,A. W. Premawardhana,33,0.07,
1999,05C,Matale,Matale,DUNF,A. Dissanayaka,34,0.08,
2005,05C,Matale,Matale,UNP,Ranil Wickremesinghe,29637,57.62,green
2005,05C,Matale,Matale,UPFA,Mahinda Rajapaksa,20945,40.72,blue
2005,05C,Matale,Matale,JSP,A. A. Suraweera,235,0.46,
2005,05C,Matale,Matale,USP,Siritunga Jayasuriya,278,0.54,
2005,05C,Matale,Matale,NLF,Chamil Jayaneththi,73,0.14,
2005,05C,Matale,Matale,ULPP,Victor Hettigoda,88,0.17,
2005,05C,Matale,Matale,SLNF,Wimal Geeganage,34,0.07,
2005,05C,Matale,Matale,RPP,Aruna de Soyza,33,0.06,
2005,05C,Matale,Matale,ULF,Anura De Silva,48,0.09,
2005,05C,Matale,Matale,DUA,A. K. J. Arachchige,25,0.05,
2005,05C,Matale,Matale,SEP,Wije Dias,17,0.03,
2005,05C,Matale,Matale,SLPF,P. Nelson Perera,15,0.03,
2005,05C,Matale,Matale,UNAF,H. S. Dharmadwaja,11,0.02,
2010,05C,Matale,Matale,UPFA,Mahinda Rajapaksa,26996,49.67,blue
2010,05C,Matale,Matale,NDF,Sarath Fonseka,26013,47.86,green
2010,05C,Matale,Matale,DUNF,M. C. M. Ismail,289,0.53,
2010,05C,Matale,Matale,JSP,A. A. Suraweera,174,0.32,
2010,05C,Matale,Matale,Ind 1,W. V. M. Ranjith,100,0.18,
2010,05C,Matale,Matale,UDF,C. J. Sugathsiri Gamage,159,0.29,
2010,05C,Matale,Matale,SLLP,A. S. P. Liyanage,83,0.15,
2010,05C,Matale,Matale,Ind 3,Ukkubanda Wijekoon,75,0.14,
2010,05C,Matale,Matale,USP,Siritunga Jayasuriya,57,0.1,
2010,05C,Matale,Matale,NSH,Sarath Manamendra,61,0.11,
2010,05C,Matale,Matale,ONF,Lal Perera,60,0.11,
2010,05C,Matale,Matale,Ind 5,M. K. Shivajilingam,48,0.09,
2010,05C,Matale,Matale,Ind 2,Aithurus Mohamed Illias,39,0.07,
2010,05C,Matale,Matale,LF,Vikramabahu Karunaratne,34,0.06,
2010,05C,Matale,Matale,NA,Sanath Pinnaduwa,29,0.05,
2010,05C,Matale,Matale,SEP,Wije Dias,25,0.05,
2010,05C,Matale,Matale,Ind 4,M. Mohamed Musthaffa,25,0.05,
2010,05C,Matale,Matale,JP,Baththaramulle Seelarathana Thero,17,0.03,
2010,05C,Matale,Matale,RPP,Aruna de Soyza,16,0.03,
2010,05C,Matale,Matale,PNF,Senaratna de Silva,23,0.04,
2010,05C,Matale,Matale,ACAKO,M. B. Theminimulla,16,0.03,
2010,05C,Matale,Matale,UNAF,Sarath Kongahage,8,0.01,
2015,05C,Matale,Matale,I-AMI,Aithurus Mohamed Illias,77,0.12,
2015,05C,Matale,Matale,UPF,Maulawi Ibrahim Mohanmed Mishlar,91,0.14,
2015,05C,Matale,Matale,DNM,Prasanna Priyankara,11,0.02,
2015,05C,Matale,Matale,SLNF,Wimal Geeganage,14,0.02,
2015,05C,Matale,Matale,USP,Siritunga Jayasuriya,72,0.11,
2015,05C,Matale,Matale,AACAAKO,M. B. Theminimulla,25,0.04,
2015,05C,Matale,Matale,SEP,Pani Wijesiriwardane,28,0.04,
2015,05C,Matale,Matale,FSP,Duminda Nagamuwa,54,0.08,
2015,05C,Matale,Matale,SLLP,A. S. P. Liyanage,101,0.16,
2015,05C,Matale,Matale,NDF,Maithripala Sirisena,36052,56.65,green
2015,05C,Matale,Matale,ULPP,Ruwanthilaka Peduru Arachchi,96,0.15,
2015,05C,Matale,Matale,I-AP,Anuruddha Polgampala,40,0.06,
2015,05C,Matale,Matale,JSP,Baththaramulle Seelarathana Thero,15,0.02,
2015,05C,Matale,Matale,NSH,Sarath Manamendra,44,0.07,
2015,05C,Matale,Matale,PNF,Arachchige Rathnayaka Sirisena,123,0.19,
2015,05C,Matale,Matale,UPFA,Mahinda Rajapaksa,26684,41.93,blue
2015,05C,Matale,Matale,ONF,Namal Ajith Rajapaksa,65,0.1,
2015,05C,Matale,Matale,NSSP,Sundaram Mahendran,36,0.06,red
2015,05C,Matale,Matale,ULGC,Jayantha Kulathunga,9,0.01,
1982,05D,Matale,Rattota,UNP,Junius Richard Jayewardene,25183,62.06,green
1982,05D,Matale,Rattota,SLFP,Hector Kobbekaduwa,12982,31.99,blue
1982,05D,Matale,Rattota,JVP,Rohana Wijeweera,2033,5.01,red
1982,05D,Matale,Rattota,LSSP,Colvin Reginald de Silva,239,0.59,red
1982,05D,Matale,Rattota,ACTC,Kumar Ponnambalam,82,0.2,yellow
1982,05D,Matale,Rattota,NSSP,Vasudeva Nanayakkara,61,0.15,red
1988,05D,Matale,Rattota,UNP,Ranasinghe Premadasa,10599,61.27,green
1988,05D,Matale,Rattota,SLFP,Sirimavo Bandaranaike,6380,36.88,blue
1988,05D,Matale,Rattota,SLMP,Oswin Abeygunasekara,320,1.85,purple
1994,05D,Matale,Rattota,PA,Chandrika Kumaratunga,28300,59.36,blue
1994,05D,Matale,Rattota,UNP,Srimathi Dissanayake,18187,38.15,green
1994,05D,Matale,Rattota,Ind 2,Hudson Samarasinghe,618,1.3,
1994,05D,Matale,Rattota,SMBP,Harischandra Wijayatunga,250,0.52,
1994,05D,Matale,Rattota,SLPF,G. A. Nihal,154,0.32,
1994,05D,Matale,Rattota,Ind 1,Arthur Jayasena Ranasinghe,169,0.35,
1999,05D,Matale,Rattota,PA,Chandrika Kumaratunga,26959,51.56,blue
1999,05D,Matale,Rattota,UNP,Ranil Wickremesinghe,22336,42.72,green
1999,05D,Matale,Rattota,JVP,M. D. Nandana Gunathilake,1574,3.01,red
1999,05D,Matale,Rattota,Ind 2,W. V. M. Ranjith,255,0.49,
1999,05D,Matale,Rattota,SMBP,Harischandra Wijayatunga,264,0.5,
1999,05D,Matale,Rattota,Liberal,Rajiva Wijesinha,235,0.45,
1999,05D,Matale,Rattota,Ind 1,T. Edirisuriya,232,0.44,
1999,05D,Matale,Rattota,SLMP,Abdul Rasool,142,0.27,purple
1999,05D,Matale,Rattota,PLSF,Kamal Karunadasa,78,0.15,
1999,05D,Matale,Rattota,LDA,Vasudeva Nanayakkara,75,0.14,
1999,05D,Matale,Rattota,Ind 3,Hudson Samarasinghe,78,0.15,
1999,05D,Matale,Rattota,PFF,A. W. Premawardhana,27,0.05,
1999,05D,Matale,Rattota,DUNF,A. Dissanayaka,28,0.05,
2005,05D,Matale,Rattota,UNP,Ranil Wickremesinghe,31449,54.1,green
2005,05D,Matale,Rattota,UPFA,Mahinda Rajapaksa,25551,43.96,blue
2005,05D,Matale,Rattota,JSP,A. A. Suraweera,334,0.57,
2005,05D,Matale,Rattota,USP,Siritunga Jayasuriya,362,0.62,
2005,05D,Matale,Rattota,NLF,Chamil Jayaneththi,78,0.13,
2005,05D,Matale,Rattota,ULPP,Victor Hettigoda,96,0.17,
2005,05D,Matale,Rattota,SLNF,Wimal Geeganage,58,0.1,
2005,05D,Matale,Rattota,RPP,Aruna de Soyza,55,0.09,
2005,05D,Matale,Rattota,ULF,Anura De Silva,53,0.09,
2005,05D,Matale,Rattota,DUA,A. K. J. Arachchige,39,0.07,
2005,05D,Matale,Rattota,SEP,Wije Dias,19,0.03,
2005,05D,Matale,Rattota,SLPF,P. Nelson Perera,24,0.04,
2005,05D,Matale,Rattota,UNAF,H. S. Dharmadwaja,11,0.02,
2010,05D,Matale,Rattota,UPFA,Mahinda Rajapaksa,32818,54.35,blue
2010,05D,Matale,Rattota,NDF,Sarath Fonseka,25991,43.04,green
2010,05D,Matale,Rattota,DUNF,M. C. M. Ismail,232,0.38,
2010,05D,Matale,Rattota,JSP,A. A. Suraweera,210,0.35,
2010,05D,Matale,Rattota,Ind 1,W. V. M. Ranjith,139,0.23,
2010,05D,Matale,Rattota,UDF,C. J. Sugathsiri Gamage,203,0.34,
2010,05D,Matale,Rattota,SLLP,A. S. P. Liyanage,97,0.16,
2010,05D,Matale,Rattota,Ind 3,Ukkubanda Wijekoon,87,0.14,
2010,05D,Matale,Rattota,USP,Siritunga Jayasuriya,97,0.16,
2010,05D,Matale,Rattota,NSH,Sarath Manamendra,88,0.15,
2010,05D,Matale,Rattota,ONF,Lal Perera,91,0.15,
2010,05D,Matale,Rattota,Ind 5,M. K. Shivajilingam,57,0.09,
2010,05D,Matale,Rattota,Ind 2,Aithurus Mohamed Illias,40,0.07,
2010,05D,Matale,Rattota,LF,Vikramabahu Karunaratne,43,0.07,
2010,05D,Matale,Rattota,NA,Sanath Pinnaduwa,32,0.05,
2010,05D,Matale,Rattota,SEP,Wije Dias,27,0.04,
2010,05D,Matale,Rattota,Ind 4,M. Mohamed Musthaffa,24,0.04,
2010,05D,Matale,Rattota,JP,Baththaramulle Seelarathana Thero,25,0.04,
2010,05D,Matale,Rattota,RPP,Aruna de Soyza,34,0.06,
2010,05D,Matale,Rattota,PNF,Senaratna de Silva,16,0.03,
2010,05D,Matale,Rattota,ACAKO,M. B. Theminimulla,15,0.02,
2010,05D,Matale,Rattota,UNAF,Sarath Kongahage,22,0.04,
2015,05D,Matale,Rattota,I-AMI,Aithurus Mohamed Illias,86,0.12,
2015,05D,Matale,Rattota,UPF,Maulawi Ibrahim Mohanmed Mishlar,134,0.19,
2015,05D,Matale,Rattota,DNM,Prasanna Priyankara,34,0.05,
2015,05D,Matale,Rattota,SLNF,Wimal Geeganage,17,0.02,
2015,05D,Matale,Rattota,USP,Siritunga Jayasuriya,102,0.14,
2015,05D,Matale,Rattota,AACAAKO,M. B. Theminimulla,36,0.05,
2015,05D,Matale,Rattota,SEP,Pani Wijesiriwardane,31,0.04,
2015,05D,Matale,Rattota,FSP,Duminda Nagamuwa,72,0.1,
2015,05D,Matale,Rattota,SLLP,A. S. P. Liyanage,125,0.18,
2015,05D,Matale,Rattota,NDF,Maithripala Sirisena,37319,52.7,green
2015,05D,Matale,Rattota,ULPP,Ruwanthilaka Peduru Arachchi,134,0.19,
2015,05D,Matale,Rattota,I-AP,Anuruddha Polgampala,45,0.06,
2015,05D,Matale,Rattota,JSP,Baththaramulle Seelarathana Thero,28,0.04,
2015,05D,Matale,Rattota,NSH,Sarath Manamendra,71,0.1,
